Título	Frecuencia en meses	comentario  (no genera salida)
- Gastos casa		
Ayuntamiento Sitges		muy irregular
Comunidad del Parquing	3	
Agua casa	3	
Movistar	1	
Movil viejo	1	
Gas casa	2	
Electricidad casa	1	
Comunidad casa	3	Más derramas ocasionales
Mantenimiento caldera	12	
- Varios		
Sanitas		Cuota anual + co-pagos todos los meses.
CNV	12	
Catalana Occidente	12	
Contador		
DINAHOSTING	12	
Piscina Municipal	1	
- Gran de Gracia		
Pago alquiler GG	1	
Alquiler contador agua GG	12	
Comunidad GG	3	Hacen ciclos de dos pagos chicos y uno gordo. Puede haber derramas extra.
IBI GG	3	
GENERALITAT DE CATALUNYA	12	
- Otros		
REINTEGRO		
IMPUESTOS		
Banco		
Raed		
Clases Roxy		
Varios		
INGRESO EFECTIVO		
CABUT		
BARREIRO		
Tarjeta de Crédito		